ID SESA,MARCA,TIPO,SEGMENTO CLASE,CLASIFICACION,COMBUSTIBLE,MODELO,UNIDADES EXPUESTAS
0312,GENERAL MOTORS,MATIZ G2,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0313,GENERAL MOTORS,G5,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0322,TOYOTA,AVANZA,COMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0328,FAW,F1,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2009,1807.3426
0329,FAW,F4,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0330,FAW,F5,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2023,57.9477
0333,SUZUKI,SX4,COMPACTO,AUTOMOVILES,GASOLINA,2012,1131.2844
0335,GENERAL MOTORS,AVEO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0343,MERCEDES BENZ,SMART,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0349,FIAT,ALBEA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2009,1807.3426
0357,PEUGEOT,308,COMPACTO,AUTOMOVILES,GASOLINA,2016,86.3891
0363,RENAULT,SAFRANE,COMPACTO,AUTOMOVILES,GASOLINA,2011,1131.2844
0366,VOLKSWAGEN,GOL,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2018,46.6473
0372,GENERAL MOTORS,EPICA,COMPACTO,AUTOMOVILES,GASOLINA,2010,1131.2844
0373,GENERAL MOTORS,CRUZE,COMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0377,FIAT,500,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2013,524.6893
0380,HONDA,CITY,COMPACTO,AUTOMOVILES,GASOLINA,2018,46.6473
0404,FIAT,LINEA,COMPACTO,AUTOMOVILES,GASOLINA,2011,1131.2844
0405,GENERAL MOTORS,SPARK,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0435,RENAULT,FLUENCE,COMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0437,TOYOTA,PRIUS,COMPACTO,AUTOMOVILES,GASOLINA,2020,86.3891
0441,RENAULT,SANDERO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0442,RENAULT,STEPWAY,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0443,RENAULT,SCALA,COMPACTO,AUTOMOVILES,GASOLINA,2011,1131.2844
0472,NISSAN,MARCH,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0473,NISSAN,VERSA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2013,524.6893
0477,SUZUKI,KIZASHI,COMPACTO,AUTOMOVILES,GASOLINA,2016,86.3891
0491,SEAT,EXEO,COMPACTO,AUTOMOVILES,GASOLINA,2011,1131.2844
0492,CHRYSLER,I 10,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2012,1131.2844
0495,NISSAN,JUKE,COMPACTO,AUTOMOVILES,GASOLINA,2016,86.3891
0501,VOLKSWAGEN,NUEVO JETTA A6,COMPACTO,AUTOMOVILES,GASOLINA/DIESEL,2019,86.3891
0502,GENERAL MOTORS,SONIC,COMPACTO,AUTOMOVILES,GASOLINA,2012,1131.2844
0516,NISSAN,LEAF,COMPACTO,AUTOMOVILES,ELECTRICO,2019,86.3891
0519,CITROEN,C,COMPACTO,AUTOMOVILES,GASOLINA,1984,524.6893
0520,CITROEN,DS,COMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
0522,TATA MOTORS,NANO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
0523,TATA MOTORS,MANZA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2021,50.9951
0524,TATA MOTORS,VISTA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2013,524.6893
0525,TATA MOTORS,INDICA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
0526,TATA MOTORS,INDIGO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0534,ZILENT,COURANT,SUBCOMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
0536,TOYOTA,AVENSIS,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0545,HONDA,CROSSTOUR,COMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0547,CHRYSLER,DART DESDE 2012,COMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0550,ACURA,ILX,COMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
